year,i_iso3,j_iso3,f_migstock,f_migstock_t,migstock_gross
2014,AFG,AUS,8807.79213291109,0,8807.79213291109
2015,AFG,AUS,80181.10742079094,0,80181.10742079094
2016,AFG,AUS,61093.35825758129,0,61093.35825758129
2017,AFG,AUS,29978.695032813957,0,29978.695032813957
2018,AFG,AUS,62007.63644583449,0,62007.63644583449
2019,AFG,AUS,46911.71442306694,0,46911.71442306694
2000,AFG,BGD,0,0,0
2001,AFG,BGD,0,0,0
2002,AFG,BGD,0,0,0
2003,AFG,BGD,0,0,0
2004,AFG,BGD,0,0,0
2005,AFG,BGD,0,0,0
2006,AFG,BGD,0,0,0
2007,AFG,BGD,0,0,0
2008,AFG,BGD,0,0,0
2009,AFG,BGD,0,0,0
2010,AFG,BGD,0,0,0
2011,AFG,BGD,0,0,0
2012,AFG,BGD,0,0,0
2013,AFG,BGD,0,0,0
2014,AFG,BGD,0,0,0
2015,AFG,BGD,0,0,0
2016,AFG,BGD,0,0,0
2017,AFG,BGD,0,0,0
2018,AFG,BGD,0,0,0
2019,AFG,BGD,0,0,0
2000,AFG,BRN,0,0,0
2001,AFG,BRN,0,0,0
2002,AFG,BRN,0,0,0
2003,AFG,BRN,0,0,0
2004,AFG,BRN,0,0,0
2005,AFG,BRN,0,0,0
2006,AFG,BRN,0,0,0
2007,AFG,BRN,0,0,0
2008,AFG,BRN,0,0,0
2009,AFG,BRN,0,0,0
2010,AFG,BRN,0,0,0
2011,AFG,BRN,0,0,0
2012,AFG,BRN,0,0,0
2013,AFG,BRN,0,0,0
2014,AFG,BRN,0,0,0
2015,AFG,BRN,0,0,0
2016,AFG,BRN,0,0,0
2017,AFG,BRN,0,0,0
2018,AFG,BRN,0,0,0
2019,AFG,BRN,0,0,0
2000,AFG,BTN,0,0,0
2001,AFG,BTN,0,0,0
2002,AFG,BTN,0,0,0
2003,AFG,BTN,0,0,0
2004,AFG,BTN,0,0,0
2005,AFG,BTN,0,0,0
2006,AFG,BTN,0,0,0
2007,AFG,BTN,0,0,0
2008,AFG,BTN,0,0,0
2009,AFG,BTN,0,0,0
2010,AFG,BTN,0,0,0
2011,AFG,BTN,0,0,0
2012,AFG,BTN,0,0,0
2013,AFG,BTN,0,0,0
2014,AFG,BTN,0,0,0
2015,AFG,BTN,0,0,0
2016,AFG,BTN,0,0,0
2017,AFG,BTN,0,0,0
2018,AFG,BTN,0,0,0
2019,AFG,BTN,0,0,0
2000,AFG,CAN,38214.35904062013,0,38214.35904062013
2001,AFG,CAN,13585.172658433372,0,13585.172658433372
2002,AFG,CAN,28206.573990733745,0,28206.573990733745
2003,AFG,CAN,14027.474964350313,0,14027.474964350313
2004,AFG,CAN,48023.71705274956,0,48023.71705274956
2005,AFG,CAN,8818.344795513247,0,8818.344795513247
2006,AFG,CAN,15215.434357457874,0,15215.434357457874
2007,AFG,CAN,25517.195942853097,0,25517.195942853097
2008,AFG,CAN,64659.327337299954,0,64659.327337299954
2009,AFG,CAN,16082.466276909709,0,16082.466276909709
2010,AFG,CAN,11961.953585679177,0,11961.953585679177
2011,AFG,CAN,15572.171893071038,0,15572.171893071038
2012,AFG,CAN,16082.342799802973,0,16082.342799802973
2013,AFG,CAN,83259.3000009074,0,83259.3000009074
2014,AFG,CAN,54953.78793342387,0,54953.78793342387
2015,AFG,CAN,53761.59308855529,0,53761.59308855529
2016,AFG,CAN,80704.33558215685,0,80704.33558215685
2017,AFG,CAN,75771.85970161529,0,75771.85970161529
2018,AFG,CAN,60697.20293372917,0,60697.20293372917
2019,AFG,CAN,50299.93415146642,0,50299.93415146642
2000,AFG,CHN,0,0,0
2001,AFG,CHN,0,0,0
2002,AFG,CHN,0,0,0
2003,AFG,CHN,0,0,0
2004,AFG,CHN,0,0,0
2005,AFG,CHN,0,0,0
2006,AFG,CHN,0,0,0
2007,AFG,CHN,0,0,0
2008,AFG,CHN,0,0,0
2009,AFG,CHN,0,0,0
2010,AFG,CHN,0,0,0
2011,AFG,CHN,0,0,0
2012,AFG,CHN,0,0,0
2013,AFG,CHN,0,0,0
2014,AFG,CHN,0,0,0
2015,AFG,CHN,0,0,0
2016,AFG,CHN,0,0,0
2017,AFG,CHN,0,0,0
2018,AFG,CHN,0,0,0
2019,AFG,CHN,0,0,0
2000,AFG,COK,0,0,0
2001,AFG,COK,0,0,0
2002,AFG,COK,0,0,0
2003,AFG,COK,0,0,0
2004,AFG,COK,0,0,0
2005,AFG,COK,0,0,0
2006,AFG,COK,0,0,0
2007,AFG,COK,0,0,0
2008,AFG,COK,0,0,0
2009,AFG,COK,0,0,0
2010,AFG,COK,0,0,0
2011,AFG,COK,0,0,0
2012,AFG,COK,0,0,0
2013,AFG,COK,0,0,0
2014,AFG,COK,0,0,0
2015,AFG,COK,0,0,0
2016,AFG,COK,0,0,0
2017,AFG,COK,0,0,0
2018,AFG,COK,0,0,0
2019,AFG,COK,0,0,0
2000,AFG,EUR,154671.98907365347,0,154671.98907365347
2001,AFG,EUR,186488.4986987259,0,186488.4986987259
2002,AFG,EUR,301239.4539241724,0,301239.4539241724
2003,AFG,EUR,133235.74624768476,0,133235.74624768476
2004,AFG,EUR,59285.33371537892,0,59285.33371537892
2005,AFG,EUR,124895.95245084046,0,124895.95245084046
2006,AFG,EUR,277402.0250351737,0,277402.0250351737
2007,AFG,EUR,73536.86269532394,0,73536.86269532394
2008,AFG,EUR,191208.16784848864,0,191208.16784848864
2009,AFG,EUR,305425.0694727839,0,305425.0694727839
2010,AFG,EUR,35484.97991154474,0,35484.97991154474
2011,AFG,EUR,321389.60239122796,0,321389.60239122796
2012,AFG,EUR,335097.8513838357,0,335097.8513838357
2013,AFG,EUR,322253.8960542712,0,322253.8960542712
2014,AFG,EUR,76642.22807000874,0,76642.22807000874
2015,AFG,EUR,246836.4095302936,0,246836.4095302936
2016,AFG,EUR,276813.0543541438,0,276813.0543541438
2017,AFG,EUR,84441.92862122576,0,84441.92862122576
2018,AFG,EUR,104955.25019104534,0,104955.25019104534
2019,AFG,EUR,634180.3785058014,0,634180.3785058014
2000,AFG,FJI,0,0,0
2001,AFG,FJI,0,0,0
2002,AFG,FJI,0,0,0
2003,AFG,FJI,0,0,0
2004,AFG,FJI,0,0,0
2005,AFG,FJI,0,0,0
2006,AFG,FJI,0,0,0
2007,AFG,FJI,0,0,0
2008,AFG,FJI,0,0,0
2009,AFG,FJI,0,0,0
2010,AFG,FJI,0,0,0
2011,AFG,FJI,0,0,0
2012,AFG,FJI,0,0,0
2013,AFG,FJI,0,0,0
2014,AFG,FJI,0,0,0
2015,AFG,FJI,0,0,0
2016,AFG,FJI,0,0,0
2017,AFG,FJI,0,0,0
2018,AFG,FJI,0,0,0
2019,AFG,FJI,0,0,0
2000,AFG,FSM,0,0,0
2001,AFG,FSM,0,0,0
2002,AFG,FSM,0,0,0
2003,AFG,FSM,0,0,0
2004,AFG,FSM,0,0,0
2005,AFG,FSM,0,0,0
2006,AFG,FSM,0,0,0
2007,AFG,FSM,0,0,0
2008,AFG,FSM,0,0,0
2009,AFG,FSM,0,0,0
2010,AFG,FSM,0,0,0
2011,AFG,FSM,0,0,0
2012,AFG,FSM,0,0,0
2013,AFG,FSM,0,0,0
2014,AFG,FSM,0,0,0
2015,AFG,FSM,0,0,0
2016,AFG,FSM,0,0,0
2017,AFG,FSM,0,0,0
2018,AFG,FSM,0,0,0
2019,AFG,FSM,0,0,0
2000,AFG,GUM,0,0,0
2001,AFG,GUM,0,0,0
2002,AFG,GUM,0,0,0
2003,AFG,GUM,0,0,0
2004,AFG,GUM,0,0,0
2005,AFG,GUM,0,0,0
2006,AFG,GUM,0,0,0
2007,AFG,GUM,0,0,0
2008,AFG,GUM,0,0,0
2009,AFG,GUM,0,0,0
2010,AFG,GUM,0,0,0
2011,AFG,GUM,0,0,0
2012,AFG,GUM,0,0,0
2013,AFG,GUM,0,0,0
2014,AFG,GUM,0,0,0
2015,AFG,GUM,0,0,0
2016,AFG,GUM,0,0,0
2017,AFG,GUM,0,0,0
2018,AFG,GUM,0,0,0
2019,AFG,GUM,0,0,0
2000,AFG,HKG,0,0,0
2001,AFG,HKG,0,0,0
2002,AFG,HKG,0,0,0
2003,AFG,HKG,0,0,0
2004,AFG,HKG,0,0,0
2005,AFG,HKG,0,0,0
2006,AFG,HKG,0,0,0
2007,AFG,HKG,0,0,0
2008,AFG,HKG,0,0,0
2009,AFG,HKG,0,0,0
2010,AFG,HKG,0,0,0
2011,AFG,HKG,0,0,0
2012,AFG,HKG,0,0,0
2013,AFG,HKG,0,0,0
2014,AFG,HKG,0,0,0
2015,AFG,HKG,0,0,0
2016,AFG,HKG,0,0,0
2017,AFG,HKG,0,0,0
2018,AFG,HKG,0,0,0
2019,AFG,HKG,0,0,0
2000,AFG,IDN,0,0,0
2001,AFG,IDN,0,0,0
2002,AFG,IDN,0,0,0
2003,AFG,IDN,0,0,0
2004,AFG,IDN,0,0,0
2005,AFG,IDN,0,0,0
2006,AFG,IDN,0,0,0
2007,AFG,IDN,0,0,0
2008,AFG,IDN,0,0,0
2009,AFG,IDN,0,0,0
2010,AFG,IDN,0,0,0
2011,AFG,IDN,0,0,0
2012,AFG,IDN,0,0,0
2013,AFG,IDN,0,0,0
2014,AFG,IDN,0,0,0
2015,AFG,IDN,0,0,0
2016,AFG,IDN,0,0,0
2017,AFG,IDN,0,0,0
2018,AFG,IDN,0,0,0
2019,AFG,IDN,0,0,0
2000,AFG,IND,18099.964880894775,0,18099.964880894775
2001,AFG,IND,17461.05684499353,0,17461.05684499353
2002,AFG,IND,15049.032565831058,0,15049.032565831058
2003,AFG,IND,14340.493446548433,0,14340.493446548433
2004,AFG,IND,15071.105764403994,0,15071.105764403994
2005,AFG,IND,9196.396251792088,0,9196.396251792088
2006,AFG,IND,17058.788646300956,0,17058.788646300956
2007,AFG,IND,1800.560332257356,0,1800.560332257356
2008,AFG,IND,10239.55127690605,0,10239.55127690605
2009,AFG,IND,14499.496059070716,0,14499.496059070716
2010,AFG,IND,6500.181187860854,0,6500.181187860854
2011,AFG,IND,4146.435157414973,0,4146.435157414973
2012,AFG,IND,3465.847085662549,0,3465.847085662549
2013,AFG,IND,13413.500875470676,0,13413.500875470676
2014,AFG,IND,5683.470479576019,0,5683.470479576019
2015,AFG,IND,6084.373274547794,0,6084.373274547794
2016,AFG,IND,15912.225717972371,0,15912.225717972371
2017,AFG,IND,4014.1763968771556,0,4014.1763968771556
2018,AFG,IND,24243.32712563005,0,24243.32712563005
2019,AFG,IND,18853.903827613547,0,18853.903827613547
2000,AFG,IRN,3811441.2635086896,0,3811441.2635086896
2001,AFG,IRN,3127569.363451447,0,3127569.363451447
2002,AFG,IRN,411540.2152138981,0,411540.2152138981
2003,AFG,IRN,1130371.9491600823,0,1130371.9491600823
2004,AFG,IRN,361408.8287288891,0,361408.8287288891
2005,AFG,IRN,819903.1864779934,0,819903.1864779934
2006,AFG,IRN,702246.3870128903,0,702246.3870128903
2007,AFG,IRN,2329749.8555754703,0,2329749.8555754703
2008,AFG,IRN,2512682.671214172,0,2512682.671214172
2009,AFG,IRN,381763.3985394491,0,381763.3985394491
2010,AFG,IRN,4073513.1103663547,0,4073513.1103663547
2011,AFG,IRN,407115.7540664051,0,407115.7540664051
2012,AFG,IRN,4127040.24960447,0,4127040.24960447
2013,AFG,IRN,2699261.349763427,0,2699261.349763427
2014,AFG,IRN,2625273.61917415,0,2625273.61917415
2015,AFG,IRN,2684573.1612041867,0,2684573.1612041867
2016,AFG,IRN,2052989.7713461441,0,2052989.7713461441
2017,AFG,IRN,2595811.4466695893,0,2595811.4466695893
2018,AFG,IRN,4238941.373722578,0,4238941.373722578
2019,AFG,IRN,3314644.346733953,0,3314644.346733953
2000,AFG,JPN,0,0,0
2001,AFG,JPN,0,0,0
2002,AFG,JPN,0,0,0
2003,AFG,JPN,0,0,0
2004,AFG,JPN,0,0,0
2005,AFG,JPN,0,0,0
2006,AFG,JPN,0,0,0
2007,AFG,JPN,0,0,0
2008,AFG,JPN,0,0,0
2009,AFG,JPN,0,0,0
2010,AFG,JPN,0,0,0
2011,AFG,JPN,0,0,0
2012,AFG,JPN,0,0,0
2013,AFG,JPN,0,0,0
2014,AFG,JPN,0,0,0
2015,AFG,JPN,0,0,0
2016,AFG,JPN,0,0,0
2017,AFG,JPN,0,0,0
2018,AFG,JPN,0,0,0
2019,AFG,JPN,0,0,0
2000,AFG,KHM,0,0,0
2001,AFG,KHM,0,0,0
2002,AFG,KHM,0,0,0
2003,AFG,KHM,0,0,0
2004,AFG,KHM,0,0,0
2005,AFG,KHM,0,0,0
2006,AFG,KHM,0,0,0
2007,AFG,KHM,0,0,0
2008,AFG,KHM,0,0,0
2009,AFG,KHM,0,0,0
2010,AFG,KHM,0,0,0
2011,AFG,KHM,0,0,0
2012,AFG,KHM,0,0,0
2013,AFG,KHM,0,0,0
2014,AFG,KHM,0,0,0
2015,AFG,KHM,0,0,0
2016,AFG,KHM,0,0,0
2017,AFG,KHM,0,0,0
2018,AFG,KHM,0,0,0
2019,AFG,KHM,0,0,0
2000,AFG,KIR,0,0,0
2001,AFG,KIR,0,0,0
2002,AFG,KIR,0,0,0
2003,AFG,KIR,0,0,0
2004,AFG,KIR,0,0,0
2005,AFG,KIR,0,0,0
2006,AFG,KIR,0,0,0
2007,AFG,KIR,0,0,0
2008,AFG,KIR,0,0,0
2009,AFG,KIR,0,0,0
2010,AFG,KIR,0,0,0
2011,AFG,KIR,0,0,0
2012,AFG,KIR,0,0,0
2013,AFG,KIR,0,0,0
2014,AFG,KIR,0,0,0
2015,AFG,KIR,0,0,0
2016,AFG,KIR,0,0,0
2017,AFG,KIR,0,0,0
2018,AFG,KIR,0,0,0
2019,AFG,KIR,0,0,0
2000,AFG,KOR,0,0,0
2001,AFG,KOR,0,0,0
2002,AFG,KOR,0,0,0
2003,AFG,KOR,0,0,0
2004,AFG,KOR,0,0,0
2005,AFG,KOR,0,0,0
2006,AFG,KOR,0,0,0
2007,AFG,KOR,0,0,0
2008,AFG,KOR,0,0,0
2009,AFG,KOR,0,0,0
2010,AFG,KOR,0,0,0
2011,AFG,KOR,0,0,0
2012,AFG,KOR,0,0,0
2013,AFG,KOR,0,0,0
2014,AFG,KOR,0,0,0
2015,AFG,KOR,0,0,0
2016,AFG,KOR,0,0,0
2017,AFG,KOR,0,0,0
2018,AFG,KOR,0,0,0
2019,AFG,KOR,0,0,0
2000,AFG,LAO,0,0,0
2001,AFG,LAO,0,0,0
2002,AFG,LAO,0,0,0
2003,AFG,LAO,0,0,0
2004,AFG,LAO,0,0,0
2005,AFG,LAO,0,0,0
2006,AFG,LAO,0,0,0
2007,AFG,LAO,0,0,0
2008,AFG,LAO,0,0,0
2009,AFG,LAO,0,0,0
2010,AFG,LAO,0,0,0
2011,AFG,LAO,0,0,0
2012,AFG,LAO,0,0,0
2013,AFG,LAO,0,0,0
2014,AFG,LAO,0,0,0
2015,AFG,LAO,0,0,0
2016,AFG,LAO,0,0,0
2017,AFG,LAO,0,0,0
2018,AFG,LAO,0,0,0
2019,AFG,LAO,0,0,0
2000,AFG,LKA,58.33571884641424,0,58.33571884641424
2001,AFG,LKA,46.19366562622599,0,46.19366562622599
2002,AFG,LKA,28.014209434054788,0,28.014209434054788
2003,AFG,LKA,93.39411780733616,0,93.39411780733616
2004,AFG,LKA,34.68042631286197,0,34.68042631286197
2005,AFG,LKA,84.36324289804325,0,84.36324289804325
2006,AFG,LKA,32.35957953256554,0,32.35957953256554
2007,AFG,LKA,33.098836267590514,0,33.098836267590514
2008,AFG,LKA,10.399871978200963,0,10.399871978200963
2009,AFG,LKA,141.16062332100233,0,141.16062332100233
2010,AFG,LKA,158.0262809211854,0,158.0262809211854
2011,AFG,LKA,236.81964603184724,0,236.81964603184724
2012,AFG,LKA,181.61658781549895,0,181.61658781549895
2013,AFG,LKA,38.90002254811115,0,38.90002254811115
2014,AFG,LKA,236.43477861210704,0,236.43477861210704
2015,AFG,LKA,56.4028847739566,0,56.4028847739566
2016,AFG,LKA,179.55336782644736,0,179.55336782644736
2017,AFG,LKA,223.41576144483406,0,223.41576144483406
2018,AFG,LKA,113.97152709944639,0,113.97152709944639
2019,AFG,LKA,204.30791389849037,0,204.30791389849037
2000,AFG,MAC,0,0,0
2001,AFG,MAC,0,0,0
2002,AFG,MAC,0,0,0
2003,AFG,MAC,0,0,0
2004,AFG,MAC,0,0,0
2005,AFG,MAC,0,0,0
2006,AFG,MAC,0,0,0
2007,AFG,MAC,0,0,0
2008,AFG,MAC,0,0,0
2009,AFG,MAC,0,0,0
2010,AFG,MAC,0,0,0
2011,AFG,MAC,0,0,0
2012,AFG,MAC,0,0,0
2013,AFG,MAC,0,0,0
2014,AFG,MAC,0,0,0
2015,AFG,MAC,0,0,0
2016,AFG,MAC,0,0,0
2017,AFG,MAC,0,0,0
2018,AFG,MAC,0,0,0
2019,AFG,MAC,0,0,0
2000,AFG,MDV,0,0,0
2001,AFG,MDV,0,0,0
2002,AFG,MDV,0,0,0
2003,AFG,MDV,0,0,0
2004,AFG,MDV,0,0,0
2005,AFG,MDV,0,0,0
2006,AFG,MDV,0,0,0
2007,AFG,MDV,0,0,0
2008,AFG,MDV,0,0,0
2009,AFG,MDV,0,0,0
2010,AFG,MDV,0,0,0
2011,AFG,MDV,0,0,0
2012,AFG,MDV,0,0,0
2013,AFG,MDV,0,0,0
2014,AFG,MDV,0,0,0
2015,AFG,MDV,0,0,0
2016,AFG,MDV,0,0,0
2017,AFG,MDV,0,0,0
2018,AFG,MDV,0,0,0
2019,AFG,MDV,0,0,0
2000,AFG,MHL,0,0,0
2001,AFG,MHL,0,0,0
2002,AFG,MHL,0,0,0
2003,AFG,MHL,0,0,0
2004,AFG,MHL,0,0,0
2005,AFG,MHL,0,0,0
2006,AFG,MHL,0,0,0
2007,AFG,MHL,0,0,0
2008,AFG,MHL,0,0,0
2009,AFG,MHL,0,0,0
2010,AFG,MHL,0,0,0
2011,AFG,MHL,0,0,0
2012,AFG,MHL,0,0,0
2013,AFG,MHL,0,0,0
2014,AFG,MHL,0,0,0
2015,AFG,MHL,0,0,0
2016,AFG,MHL,0,0,0
2017,AFG,MHL,0,0,0
2018,AFG,MHL,0,0,0
2019,AFG,MHL,0,0,0
2000,AFG,MMR,0,0,0
2001,AFG,MMR,0,0,0
2002,AFG,MMR,0,0,0
2003,AFG,MMR,0,0,0
2004,AFG,MMR,0,0,0
2005,AFG,MMR,0,0,0
2006,AFG,MMR,0,0,0
2007,AFG,MMR,0,0,0
2008,AFG,MMR,0,0,0
2009,AFG,MMR,0,0,0
2010,AFG,MMR,0,0,0
2011,AFG,MMR,0,0,0
2012,AFG,MMR,0,0,0
2013,AFG,MMR,0,0,0
2014,AFG,MMR,0,0,0
2015,AFG,MMR,0,0,0
2016,AFG,MMR,0,0,0
2017,AFG,MMR,0,0,0
2018,AFG,MMR,0,0,0
2019,AFG,MMR,0,0,0
2000,AFG,MNG,0,0,0
2001,AFG,MNG,0,0,0
2002,AFG,MNG,0,0,0
2003,AFG,MNG,0,0,0
2004,AFG,MNG,0,0,0
2005,AFG,MNG,0,0,0
2006,AFG,MNG,0,0,0
2007,AFG,MNG,0,0,0
2008,AFG,MNG,0,0,0
2009,AFG,MNG,0,0,0
2010,AFG,MNG,0,0,0
2011,AFG,MNG,0,0,0
2012,AFG,MNG,0,0,0
2013,AFG,MNG,0,0,0
2014,AFG,MNG,0,0,0
2015,AFG,MNG,0,0,0
2016,AFG,MNG,0,0,0
2017,AFG,MNG,0,0,0
2018,AFG,MNG,0,0,0
2019,AFG,MNG,0,0,0
2000,AFG,MNP,0,0,0
2001,AFG,MNP,0,0,0
2002,AFG,MNP,0,0,0
2003,AFG,MNP,0,0,0
2004,AFG,MNP,0,0,0
2005,AFG,MNP,0,0,0
2006,AFG,MNP,0,0,0
2007,AFG,MNP,0,0,0
2008,AFG,MNP,0,0,0
2009,AFG,MNP,0,0,0
2010,AFG,MNP,0,0,0
2011,AFG,MNP,0,0,0
2012,AFG,MNP,0,0,0
2013,AFG,MNP,0,0,0
2014,AFG,MNP,0,0,0
2015,AFG,MNP,0,0,0
2016,AFG,MNP,0,0,0
2017,AFG,MNP,0,0,0
2018,AFG,MNP,0,0,0
2019,AFG,MNP,0,0,0
2000,AFG,MYS,55.430720266886055,0,55.430720266886055
2001,AFG,MYS,133.28741738607175,0,133.28741738607175
2002,AFG,MYS,223.71093875631686,0,223.71093875631686
2003,AFG,MYS,156.1578525606636,0,156.1578525606636
2004,AFG,MYS,403.5705961387977,0,403.5705961387977
2005,AFG,MYS,480.45859682839364,0,480.45859682839364
2006,AFG,MYS,565.9728149302304,0,565.9728149302304
2007,AFG,MYS,356.2777435397729,0,356.2777435397729
2008,AFG,MYS,364.26254458557815,0,364.26254458557815
2009,AFG,MYS,740.8690126410686,0,740.8690126410686
2010,AFG,MYS,416.6004245026037,0,416.6004245026037
2011,AFG,MYS,472.65178377948695,0,472.65178377948695
2012,AFG,MYS,885.6433208207786,0,885.6433208207786
2013,AFG,MYS,299.32511573596855,0,299.32511573596855
2014,AFG,MYS,731.9184362530709,0,731.9184362530709
2015,AFG,MYS,559.323857489042,0,559.323857489042
2016,AFG,MYS,308.351547587337,0,308.351547587337
2017,AFG,MYS,629.4026737303473,0,629.4026737303473
2018,AFG,MYS,761.6108312694821,0,761.6108312694821
2019,AFG,MYS,588.80420051408,0,588.80420051408
2000,AFG,NCL,0,0,0
2001,AFG,NCL,0,0,0
2002,AFG,NCL,0,0,0
2003,AFG,NCL,0,0,0
2004,AFG,NCL,0,0,0
2005,AFG,NCL,0,0,0
2006,AFG,NCL,0,0,0
2007,AFG,NCL,0,0,0
2008,AFG,NCL,0,0,0
2009,AFG,NCL,0,0,0
2010,AFG,NCL,0,0,0
2011,AFG,NCL,0,0,0
2012,AFG,NCL,0,0,0
2013,AFG,NCL,0,0,0
2014,AFG,NCL,0,0,0
2015,AFG,NCL,0,0,0
2016,AFG,NCL,0,0,0
2017,AFG,NCL,0,0,0
2018,AFG,NCL,0,0,0
2019,AFG,NCL,0,0,0
2000,AFG,NIU,0,0,0
2001,AFG,NIU,0,0,0
2002,AFG,NIU,0,0,0
2003,AFG,NIU,0,0,0
2004,AFG,NIU,0,0,0
2005,AFG,NIU,0,0,0
2006,AFG,NIU,0,0,0
2007,AFG,NIU,0,0,0
2008,AFG,NIU,0,0,0
2009,AFG,NIU,0,0,0
2010,AFG,NIU,0,0,0
2011,AFG,NIU,0,0,0
2012,AFG,NIU,0,0,0
2013,AFG,NIU,0,0,0
2014,AFG,NIU,0,0,0
2015,AFG,NIU,0,0,0
2016,AFG,NIU,0,0,0
2017,AFG,NIU,0,0,0
2018,AFG,NIU,0,0,0
2019,AFG,NIU,0,0,0
2000,AFG,NPL,0,0,0
2001,AFG,NPL,0,0,0
2002,AFG,NPL,0,0,0
2003,AFG,NPL,0,0,0
2004,AFG,NPL,0,0,0
2005,AFG,NPL,0,0,0
2006,AFG,NPL,0,0,0
2007,AFG,NPL,0,0,0
2008,AFG,NPL,0,0,0
2009,AFG,NPL,0,0,0
2010,AFG,NPL,0,0,0
2011,AFG,NPL,0,0,0
2012,AFG,NPL,0,0,0
2013,AFG,NPL,0,0,0
2014,AFG,NPL,0,0,0
2015,AFG,NPL,0,0,0
2016,AFG,NPL,0,0,0
2017,AFG,NPL,0,0,0
2018,AFG,NPL,0,0,0
2019,AFG,NPL,0,0,0
2000,AFG,NRU,0,0,0
2001,AFG,NRU,0,0,0
2002,AFG,NRU,0,0,0
2003,AFG,NRU,0,0,0
2004,AFG,NRU,0,0,0
2005,AFG,NRU,0,0,0
2006,AFG,NRU,0,0,0
2007,AFG,NRU,0,0,0
2008,AFG,NRU,0,0,0
2009,AFG,NRU,0,0,0
2010,AFG,NRU,0,0,0
2011,AFG,NRU,0,0,0
2012,AFG,NRU,0,0,0
2013,AFG,NRU,0,0,0
2014,AFG,NRU,0,0,0
2015,AFG,NRU,0,0,0
2016,AFG,NRU,0,0,0
2017,AFG,NRU,0,0,0
2018,AFG,NRU,0,0,0
2019,AFG,NRU,0,0,0
2000,AFG,NZL,395.16038945596665,0,395.16038945596665
2001,AFG,NZL,414.9894762972184,0,414.9894762972184
2002,AFG,NZL,1257.7661650628224,0,1257.7661650628224
2003,AFG,NZL,1877.3380074626396,0,1877.3380074626396
2004,AFG,NZL,2829.6861962370012,0,2829.6861962370012
2005,AFG,NZL,787.6339358723721,0,787.6339358723721
2006,AFG,NZL,1255.4129586674271,0,1255.4129586674271
2007,AFG,NZL,4082.3998981150144,0,4082.3998981150144
2008,AFG,NZL,2069.2937529394035,0,2069.2937529394035
2009,AFG,NZL,2045.539582988117,0,2045.539582988117
2010,AFG,NZL,3011.4467494715936,0,3011.4467494715936
2011,AFG,NZL,395.72426563035697,0,395.72426563035697
2012,AFG,NZL,878.0491242510825,0,878.0491242510825
2013,AFG,NZL,3866.823244007677,0,3866.823244007677
2014,AFG,NZL,1612.8603024843896,0,1612.8603024843896
